as_of_date,ticker,entry_price,predicted_price,predicted_return_pct,confidence,rf_confidence,gb_confidence,rf_r2,gb_r2,agreement_pct,actual_price,actual_return_pct,direction_correct
2026-05-13,PATH,9.47,9.24,-2.43,1.4,1.0,1.9,0.0,0.0,1.9,10.75,13.52,False
2026-05-28,PATH,11.565,11.09,-4.11,0.2,0.0,0.5,0.0,0.0,1.0,11.68,0.99,False
2026-06-11,PATH,10.66,10.77,1.03,0.0,0.0,0.0,0.0,0.0,0.3,10.26,-3.75,False
2026-06-26,PATH,10.53,10.58,0.47,0.0,0.0,0.0,0.0,0.0,0.2,11.82,12.25,True
2024-09-09,PK,14.07,14.38,2.2,2.3,3.0,1.6,0.0,0.0,0.9,14.08,0.07,True
2024-09-23,PK,15.26,15.7,2.88,1.7,3.4,0.0,0.0,0.0,2.4,14.11,-7.54,False
2024-10-07,PK,14.11,14.14,0.21,0.1,0.0,0.3,0.0,0.0,0.3,14.45,2.41,True
2024-10-21,PK,13.95,13.93,-0.14,0.1,0.0,0.3,0.0,0.0,1.9,13.95,0.0,True
2024-11-04,PK,14.14,13.84,-2.12,0.0,0.0,0.0,0.0,0.0,1.4,14.98,5.94,False
2024-11-18,PK,14.285,14.37,0.6,0.0,0.0,0.0,0.0,0.0,0.1,15.5,8.51,True
2024-12-03,PK,15.8,15.94,0.89,0.0,0.0,0.0,0.0,0.0,0.8,15.61,-1.2,False
2024-12-17,PK,15.49,15.14,-2.26,0.0,0.0,0.0,0.0,0.0,1.4,15.055,-2.81,True
2025-01-02,PK,13.78,14.21,3.12,3.0,5.4,0.5,0.0,0.0,0.5,13.76,-0.15,False
2025-01-17,PK,13.625,13.84,1.58,0.5,0.5,0.5,0.0,0.0,0.5,13.74,0.84,True
2025-02-03,PK,13.11,13.43,2.44,0.0,0.0,0.0,0.0,0.0,1.1,12.95,-1.22,False
2025-02-18,PK,13.16,13.28,0.91,0.0,0.0,0.0,0.0,0.0,0.8,12.36,-6.08,False
2025-03-04,PK,11.77,12.41,5.44,0.0,0.0,0.0,0.0,0.0,3.9,11.71,-0.51,False
2025-03-18,PK,11.605,11.87,2.28,0.0,0.0,0.0,0.0,0.0,0.3,11.365,-2.07,False
2025-04-01,PK,10.75,11.23,4.47,0.0,0.0,0.0,0.0,0.0,1.8,8.865,-17.53,False
2025-04-15,PK,9.71,10.09,3.91,0.0,0.0,0.0,0.0,0.0,2.1,9.88,1.75,True
2025-04-30,PK,9.93,10.14,2.11,0.0,0.0,0.0,0.0,0.0,1.9,10.005,0.76,True
2025-05-14,PK,11.02,10.93,-0.82,0.0,0.0,0.0,0.0,0.0,0.5,10.225,-7.21,True
2025-05-29,PK,10.495,10.6,1.0,0.0,0.0,0.0,0.0,0.0,0.8,10.01,-4.62,False
2025-06-12,PK,10.44,10.27,-1.63,0.0,0.0,0.0,0.0,0.0,1.1,10.18,-2.49,True
2025-06-27,PK,10.53,10.38,-1.42,0.0,0.0,0.0,0.0,0.0,0.3,10.6,0.66,False
2025-07-14,PK,11.17,11.02,-1.34,0.0,0.0,0.0,0.0,0.0,0.4,10.7,-4.21,True
2025-07-28,PK,11.16,11.08,-0.72,0.0,0.0,0.0,0.0,0.0,0.2,10.41,-6.72,True
2025-08-11,PK,10.22,10.32,0.98,0.0,0.0,0.0,0.0,0.0,0.2,11.02,7.83,True
2025-08-25,PK,11.675,11.53,-1.24,0.0,0.0,0.0,0.0,0.0,0.7,11.63,-0.39,True
2025-09-09,PK,11.725,11.57,-1.32,0.0,0.0,0.0,0.0,0.0,1.1,12.095,3.16,False
2025-09-23,PK,11.65,11.48,-1.46,0.0,0.0,0.0,0.0,0.0,0.6,11.08,-4.89,True
2025-10-07,PK,10.8,10.96,1.48,0.0,0.0,0.0,0.0,0.04468969800162703,0.8,11.06,2.41,True
2025-10-21,PK,11.01,11.0,-0.09,0.7,1.2,0.2,0.0,0.0,0.0,11.06,0.45,False
2025-11-04,PK,9.98,10.29,3.11,0.2,0.0,0.4,0.0,0.0,2.7,10.62,6.41,True
2025-11-18,PK,10.19,10.23,0.39,0.2,0.4,0.0,0.0,0.0,1.1,10.83,6.28,True
2025-12-03,PK,10.69,10.81,1.12,0.4,0.8,0.0,0.0,0.0,1.5,10.9,1.96,True
2025-12-17,PK,10.965,10.92,-0.41,1.1,1.5,0.8,0.02126233160361235,0.0,0.0,10.855,-1.0,True
