as_of_date,ticker,smartscore,setup,near_miss,has_signal,setup_strength,trend_context,volume_bonus,base_tightness_bonus,meaningful_level_bonus,fibonacci_bonus,entry_price,actual_price,actual_return_pct,direction_correct
2025-01-02,HYG,,,False,False,,,,,,,78.85,79.685,1.06,True
2025-01-17,HYG,,,False,False,,,,,,,79.43,79.57,0.18,True
2025-02-03,HYG,85.0,,True,True,0.0,10.0,0.0,0.0,10.0,15.0,79.27,78.95,-0.4,False
2025-02-18,HYG,55.0,,True,True,0.0,10.0,0.0,0.0,10.0,-15.0,79.685,78.685,-1.25,False
2025-03-04,HYG,100.0,Pullback,False,True,20.992072240092394,10.0,15.0,0.0,10.0,15.0,79.57,77.345,-2.8,False
2025-03-18,HYG,,,False,False,,,,,,,78.95,78.62,-0.42,False
2025-04-01,HYG,,,False,False,,,,,,,78.685,79.17,0.62,True
2025-04-15,HYG,,,False,False,,,,,,,77.345,79.5,2.79,True
2025-04-30,HYG,,,False,False,,,,,,,78.62,79.59,1.23,True
2025-05-14,HYG,82.0,Breakout,False,True,25.204626975107452,10.0,0.0,12.0,0.0,-15.0,79.17,80.35,1.49,True
2025-05-29,HYG,74.0,Breakout,False,True,27.124429186470337,10.0,-10.0,12.0,0.0,-15.0,79.5,80.075,0.72,True
2025-06-12,HYG,83.0,Breakout,False,True,26.41077270892303,10.0,0.0,12.0,0.0,-15.0,79.59,80.465,1.1,True
2025-06-27,HYG,85.0,Breakout,False,True,38.40877659902294,10.0,5.0,12.0,0.0,-15.0,80.35,80.21,-0.17,False
2025-07-14,HYG,85.0,,True,True,0.0,10.0,0.0,0.0,10.0,15.0,80.075,80.7,0.78,True
2025-07-28,HYG,82.0,Breakout,False,True,25.048137641712444,10.0,0.0,12.0,0.0,-15.0,80.465,80.78,0.39,True
2025-08-11,HYG,50.0,,True,True,0.0,10.0,-10.0,0.0,10.0,-10.0,80.21,81.255,1.3,True
2025-08-25,HYG,73.0,Breakout,False,True,26.84327174001544,10.0,-10.0,12.0,0.0,-15.0,80.7,80.77,0.09,True
2025-09-09,HYG,80.0,Breakout,False,True,13.64362605690766,10.0,5.0,12.0,0.0,-10.0,80.78,80.82,0.05,True
2025-09-23,HYG,85.0,Breakout,False,True,29.981187705343217,10.0,5.0,12.0,0.0,-15.0,81.255,80.15,-1.36,False
2025-10-07,HYG,100.0,Pullback,False,True,33.61620803358071,10.0,0.0,0.0,10.0,15.0,80.77,80.12,-0.8,False
